time,u10,v10,d2m,t2m,sp,tp,Raw Conc.
2023-01-03 18:00:00,1.6411827677153925,-1.345235749355708,280.2408074835962,281.3126472773475,99678.82497906798,3.469446951953614e-18,250.0
2023-01-03 19:00:00,1.76172782534408,-1.2709377024763668,280.30112246938205,281.1931639544941,99667.63063025333,3.469446951953614e-18,218.0
2023-01-03 20:00:00,1.7600935798888167,-1.3437689797955443,279.8483736773608,280.5943362587643,99652.810177365,3.469446951953614e-18,212.0
2023-01-03 21:00:00,1.6847885869264587,-1.4149964062872513,279.67545109151115,280.34372819099036,99630.75414983422,3.469446951953614e-18,236.0
2023-01-03 22:00:00,1.5539581590912348,-1.181519591813278,279.73407328330916,280.4535456058243,99616.86517322173,3.469446951953614e-18,201.0
2023-01-03 23:00:00,1.5190294050354947,-1.3322678614686494,279.70768777701966,280.3515596931083,99612.09135730819,3.469446951953614e-18,180.0
2023-01-04 00:00:00,1.4187697433753104,-1.3862230482799203,279.6433984053493,280.5539793289313,99647.00508414609,3.469446951953614e-18,164.0
2023-01-04 01:00:00,1.430131640349996,-1.190649204215795,279.4984437201692,280.3017485174752,99651.72899954487,3.469446951953614e-18,143.0
2023-01-04 02:00:00,1.472232916126058,-1.1206829253832937,279.34049868112544,280.179478308733,99722.75406557533,3.469446951953614e-18,140.0
2023-01-04 03:00:00,1.7090169243108344,-1.352747802804025,279.244156623293,280.2265731525503,99838.82266294314,3.469446951953614e-18,145.0
2023-01-04 04:00:00,1.4811693853219012,-1.4327073060230648,279.4177048069208,280.24706911079596,99895.2435116493,3.469446951953614e-18,161.0
2023-01-04 05:00:00,1.074268207365459,-1.4458533995576197,280.6875946967906,282.3565653434467,99927.39607666964,3.469446951953614e-18,192.0
2023-01-04 06:00:00,0.6271723733307616,-1.4901306488971533,280.82110462261784,284.19989633519725,99864.68776310174,3.469446951953614e-18,205.0
2023-01-04 07:00:00,0.31823513127591974,-1.34149343075828,280.91067550449856,285.25443278930317,99795.75851869186,3.469446951953614e-18,214.0
2023-01-04 08:00:00,0.3581963237177084,-1.257709360181429,280.83578777046927,287.44086823870714,99679.20754968123,3.469446951953614e-18,234.0
2023-01-04 09:00:00,0.6153046384770658,-1.2036445083563145,281.0470558201314,288.0836158449631,99594.94221373033,3.469446951953614e-18,234.0
